question_id,answer_id,text
"mini_project-0","a-0","Smooth"
"mini_project-0","a-1","Features or disk"
"mini_project-0","a-2","Star or artifact"
"mini_project-1","a-0","Completely round"
"mini_project-1","a-1","In between"
"mini_project-1","a-2","Cigar shaped"
"mini_project-2","a-0","Yes"
"mini_project-2","a-1","No"
"mini_project-3","a-0","Yes"
"mini_project-3","a-1","No"
"mini_project-4","a-0","Bar"
"mini_project-4","a-1","No bar"
"mini_project-5","a-0","Spiral"
"mini_project-5","a-1","No spiral"
"mini_project-6","a-0","Tight"
"mini_project-6","a-1","Medium"
"mini_project-6","a-2","Loose"
"mini_project-7","a-0","No bulge"
"mini_project-7","a-1","Obvious"
"mini_project-7","a-2","Dominant"
"mini_project-8","a-0","1"
"mini_project-8","a-1","More than 1"
"mini_project-8","a-2","No"
"mini_project-9","a-0","Merging"
"mini_project-9","a-1","Tidal debris"
"mini_project-9","a-2","Both"
"mini_project-9","a-3","Neither"
"mini_project-10","a-0","Yes"
"mini_project-10","a-1","No"
"mini_project-11","a-0","Yes"
"mini_project-11","a-1","No"
