OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587739827133939896,228.99190,19.727058,0.047927909,9.47777e-06,10.420425,1.24628,18.914000,15.871400,15.210800,14.870600,14.725700,-16.757700,-19.757600,-20.421900,-20.744400,-20.876900,5.3725600,87.8353,19.2918,1.54221,0.0783320,13.0940,6.43658,7.67755,2.12598,24.0554,2.29461,201.903,3.51144,7.01983,2.71012,108.324,2.84578,2.69733,6.55826e+26
587735661014614242,156.58063,38.089790,0.083999358,2.00699e-05,10.698490,0.101075,18.344800,16.600700,15.845800,15.483000,15.203500,-18.607300,-20.303000,-21.059300,-21.403700,-21.670700,1.4575200,185.400,8.31447,1.92400,0.0318780,36.7022,8.31400,27.3442,3.64978,18.1592,3.44747,39.7803,3.68194,2.73669,3.36613,34.9864,3.34197,3.30020,1.17895e+27
588007005768646913,118.29879,41.565651,0.084004715,5.05515e-06,10.427339,3.25025,17.115000,16.103300,15.615900,15.393900,15.206000,-19.826900,-20.797900,-21.290200,-21.494800,-21.670600,2.7820700,91.9803,12.0885,1.25005,0.0175152,56.9477,4.22483,24.1743,2.00568,90.1499,2.11663,387.257,3.11706,24.3659,2.44672,139.263,2.02127,1.57856,1.17903e+27
587735696442065029,133.09001,5.1517262,0.23202543,5.38762e-05,10.896927,6.46409,17.854400,16.157600,15.715000,15.448900,15.072200,-21.503500,-23.151900,-23.595900,-23.843500,-24.207800,2.2660200,187.842,45.7050,1.34614,0.0497835,14.5159,4.28149,8.98654,2.80312,0.0281600,3.30371,62.4203,5.02254,-6.22452,2.94761,45.5308,3.91793,3.10936,3.56916e+27
587729772608880908,207.43285,-3.0039198,0.082944348,2.12700e-05,10.550924,0.473961,18.095300,16.445300,15.782300,15.509300,15.178300,-18.814200,-20.425300,-21.094200,-21.350200,-21.669200,2.1779900,102.194,9.13436,1.60323,0.0346405,-1.96884,5.15044,16.6452,2.79294,19.7331,2.42574,43.6832,2.57026,10.7430,2.94252,24.3413,2.30385,1.38042,1.16330e+27
588009370689798213,177.96938,61.571815,0.047794901,1.39485e-05,10.068022,0.151342,18.940300,17.212300,16.457600,16.223400,16.288500,-16.723300,-18.409700,-19.168700,-19.385400,-19.308000,3.1024100,139.482,27.3384,1.34623,0.0560228,21.9729,6.48458,6.13233,2.05192,28.2658,2.22846,108.760,2.87772,8.75054,2.77534,38.3128,2.23412,1.10621,6.53943e+26
588017947207335974,193.27779,41.268322,0.10031541,9.17218e-06,10.663366,4.40139,18.130700,16.771200,16.106700,15.785000,15.481400,-19.231300,-20.542500,-21.208400,-21.511600,-21.802700,1.7679400,113.849,11.6208,1.36151,0.0260190,28.9254,4.64459,13.9276,3.01519,58.5516,3.06103,309.311,4.75184,16.9403,2.99984,161.893,4.53874,3.42709,1.42359e+27
587736915144606034,226.37518,10.736004,0.10850734,8.57192e-06,10.557554,4.07301,18.610400,17.226400,16.564600,16.258700,16.023800,-18.930300,-20.269200,-20.933700,-21.221500,-21.443900,1.8823700,87.4277,16.4053,1.32712,0.0345104,21.2768,3.90010,16.1883,2.28148,41.2514,2.41269,229.841,4.67505,11.0720,2.42728,82.9742,2.71374,1.67811,1.54827e+27
587724197747753133,31.187023,12.834730,0.19726528,1.77141e-05,10.943269,15.8587,17.835300,16.931400,16.370500,16.110400,15.939000,-21.056800,-21.952600,-22.534400,-22.783700,-22.946600,2.2149300,113.827,13.9527,1.20135,0.0191630,22.0386,3.28936,95.2308,2.71433,50.7936,3.26822,229.037,7.19166,11.5274,2.18256,112.142,3.15482,1.47725,2.97471e+27
587742614559457532,234.89038,16.024080,0.13406181,1.28963e-05,10.746959,4.71351,17.751200,16.499600,15.988400,15.815800,15.558100,-20.281400,-21.490100,-22.005000,-22.159900,-22.405200,3.2137600,70.1648,14.4982,1.32939,0.0372641,6.10019,2.57247,3.49985,2.14319,23.0712,2.09199,101.737,2.75205,5.24707,1.88392,34.0616,2.15959,1.53632,1.94495e+27
