OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587725074458345628,146.36500,-0.34351500,0.052483900,5.8802100e-06,10.395600,1.70804,17.477000,16.115600,15.465600,15.112400,14.895800,-18.255500,-19.651500,-20.343400,-20.694600,-20.907900,2.1846200,94.046500,9.8106000,1.3658300,0.026639200,250.01500,12.827300,145.17600,4.6485200,218.43700,4.9128300,1031.9500,8.5541000,48.7082,5.94467,284.63100,4.7130300,1.6869200,7.20526e+26
587725075531628671,145.34100,0.54730700,0.097904900,1.1337500e-05,10.691200,3.73048,17.285300,16.097200,15.539000,15.298800,15.098100,-19.881700,-21.097900,-21.694900,-21.931800,-22.128500,2.7297200,93.181700,11.601100,1.3804100,0.031870900,19.660300,4.3985000,18.597700,2.9371800,33.715200,2.9518500,174.81200,3.7924100,11.0461,3.67139,72.382200,3.1107600,2.0110400,1.38714e+27
587725084651684006,148.03300,-1.1428000,0.083390800,1.7377200e-05,10.450200,3.17558,18.179400,16.472100,15.845800,15.573200,15.332400,-18.739300,-20.409600,-21.042500,-21.298500,-21.527400,1.7239600,141.79200,10.590600,1.4168600,0.019312500,36.136500,9.0051200,52.731200,3.8460200,22.346100,3.3205400,136.48100,3.9405400,1.18828,4.01105,149.61100,3.8366000,2.3184600,1.16992e+27
587725074458804439,147.47000,-0.35133900,0.21523400,2.8013400e-05,10.916600,1.41086,18.519600,17.036100,16.443100,16.318400,16.046800,-20.614600,-22.073900,-22.679700,-22.790300,-23.051400,1.1964800,145.65200,11.849900,1.4718200,0.019009600,-0.93959100,2.1427500,-2.4199100,7.6046700,-5.3936900,3.7263900,7.8134000,4.4862200,-5.68125,3.55066,5.6133400,1.8839500,2.1473600,3.27959e+27
588848900972216585,147.64300,0.78011300,0.080813600,1.0669100e-05,10.570000,2.90068,17.654600,16.509700,15.878900,15.560300,15.314700,-19.192400,-20.300100,-20.937500,-21.239300,-21.473100,2.7946100,82.289900,11.751200,1.3741700,0.026824200,12.620700,3.7361400,19.169500,2.2936800,34.715400,2.2198300,190.46000,3.0899500,8.56573,2.55702,69.012700,2.2676500,1.7002100,1.13175e+27
587728948510457943,149.45600,-0.21093200,0.032943200,9.2513200e-06,10.104000,2.79701,16.617100,15.075200,14.455200,14.197800,13.973100,-18.221500,-19.717500,-20.340000,-20.579100,-20.791200,2.0123500,97.938000,5.2982100,1.2917200,0.0076945200,201.60200,14.232400,76.523400,5.4756300,41.241300,4.1354200,256.51000,6.4969100,-3.99339,4.45131,286.97200,6.6468700,2.3253500,4.45880e+26
587728949049098430,153.56600,0.075081300,0.10288400,1.3738100e-05,10.691700,1.59498,18.567300,17.108000,16.359800,16.007900,15.678100,-18.851100,-20.264400,-21.014900,-21.348500,-21.665700,1.9617600,145.28300,15.027800,1.4585800,0.037777800,32.028300,3.9171700,26.606100,2.7284900,26.859300,2.5031100,120.01400,4.1437200,2.69510,2.42678,59.334000,2.6959000,3.4540300,1.46255e+27
587725084654633072,154.67600,-1.2452800,0.095017300,1.7138100e-05,10.548400,1.30675,18.498700,16.838500,16.180800,15.899800,15.572800,-18.715000,-20.341400,-21.007200,-21.272200,-21.587700,2.3294400,128.90800,14.064100,1.4361700,0.039089600,23.908700,6.4074400,10.177200,2.8476000,17.640000,2.6639400,80.606000,2.8549700,0.264836,3.11551,47.515700,2.6021500,2.3207900,1.34361e+27
588848901511839870,153.83200,1.0615600,0.21581300,2.0570100e-05,10.962600,5.07040,17.779800,16.521700,16.009700,15.940500,15.712800,-21.398600,-22.610800,-23.125300,-23.176200,-23.391300,1.0549400,179.59600,10.571800,1.3766700,0.010540600,2.4435500,12.233200,-1.2313500,5.3331900,1.9445900,3.1710200,10.884700,3.9377600,-7.00814,2.84273,13.519400,6.6616200,2.0472200,3.28950e+27
587728307485212817,153.65700,1.1574400,0.14408200,1.6934100e-05,10.776900,1.26879,17.650800,16.206600,15.637600,15.570900,15.302100,-20.553300,-21.953900,-22.526300,-22.575100,-22.831500,1.3297200,179.23100,7.7926700,1.4586500,0.010797600,3.8876900,7.1125300,10.416700,4.9432200,-1.6585200,3.8918300,14.425300,4.6072600,-5.62491,4.07636,24.858900,5.1151000,2.2727300,2.10365e+27
588848899365797997,157.08300,-0.58656500,0.10907600,9.4991900e-06,10.554100,4.11289,18.441900,17.197600,16.616000,16.338400,16.064700,-19.094100,-20.303300,-20.892400,-21.153800,-21.415800,1.5855300,140.52400,15.741800,1.3768700,0.036465600,10.385300,5.9947900,65.486800,3.2753100,58.372400,2.9576000,276.14500,5.1988900,9.24129,3.17871,157.94300,3.6752400,2.3287400,1.55697e+27
588848898828206255,155.53800,-0.99364100,0.16939000,1.7129200e-05,11.393800,56.5322,18.363900,16.720900,16.064900,15.767800,15.448400,-20.213800,-21.820200,-22.483000,-22.763400,-23.071100,2.4662300,156.97200,13.785200,1.3730000,0.031767000,25.449900,5.6900300,26.067300,3.6707400,39.214600,3.7610900,398.54300,5.1214400,6.27980,2.76998,202.93700,3.8912000,6.2424300,2.51221e+27
587728307486589067,156.85400,1.2417600,0.022064600,7.2862300e-06,10.267900,2.35134,16.011600,14.515200,13.862100,13.531500,13.298500,-17.933400,-19.387500,-20.044700,-20.357700,-20.578400,3.7229800,111.06000,6.0817400,1.4112100,0.014443900,0.0000000,-0.76927400,84.289700,4.7496400,117.35100,4.3752300,1074.8000,10.787700,12.3669,3.76330,682.43500,8.5228400,4.0835500,2.96235e+26
